ts,fleet,kind,target,status,severity,vector,reason,rekill_count,lat,lon,city,region,country,countryCode,isp,org,asn,map_url,dossier_id
2026-07-13T20:07Z,wartime,ip,101.43.32.212,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,111,31.2222,121.4581,Shanghai,Shanghai,China,CN,Shenzhen Tencent Computer Systems Company Limited,"Tencent Cloud Computing (Beijing) Co., Ltd",AS45090 Shenzhen Tencent Computer Systems Company Limited,https://www.openstreetmap.org/?mlat=31.2222&mlon=121.4581#map=10/31.2222/121.4581,kill-101-43-32-212
2026-07-13T20:07Z,wartime,ip,102.220.160.222,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,7.78267,4.54181,Osogbo,Osun State,Nigeria,NG,ABINTERNET-V Ltd.,FlashWISP,AS197769 VPS Dedicated LLC,https://www.openstreetmap.org/?mlat=7.78267&mlon=4.54181#map=10/7.78267/4.54181,kill-102-220-160-222
2026-07-13T20:07Z,wartime,ip,113.45.226.61,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,23.129,113.2643,Guangzhou,Guangdong,China,CN,Huawei Cloud Service data center,Huawei Public Cloud Service,AS55990 Huawei Cloud Service data center,https://www.openstreetmap.org/?mlat=23.129&mlon=113.2643#map=10/23.129/113.2643,kill-113-45-226-61
2026-07-13T20:07Z,wartime,ip,118.25.85.198,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,31.2222,121.4581,Shanghai,Shanghai,China,CN,Shenzhen Tencent Computer Systems Company Limited,"Tencent Cloud Computing (Beijing) Co., Ltd",AS45090 Shenzhen Tencent Computer Systems Company Limited,https://www.openstreetmap.org/?mlat=31.2222&mlon=121.4581#map=10/31.2222/121.4581,kill-118-25-85-198
2026-07-13T20:07Z,wartime,ip,121.4.76.54,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,31.2222,121.4581,Shanghai,Shanghai,China,CN,China Internet Network Information Center,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited,https://www.openstreetmap.org/?mlat=31.2222&mlon=121.4581#map=10/31.2222/121.4581,kill-121-4-76-54
2026-07-13T20:07Z,wartime,ip,139.159.203.44,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,23.129,113.2643,Guangzhou,Guangdong,China,CN,Huawei Cloud Service data center,Huawei Public Cloud Service,AS55990 Huawei Cloud Service data center,https://www.openstreetmap.org/?mlat=23.129&mlon=113.2643#map=10/23.129/113.2643,kill-139-159-203-44
2026-07-13T20:07Z,wartime,ip,146.75.92.159,DEAD,critical,WIFI_THREAT,wartime_rekill,63,34.0544,-118.244,Los Angeles,California,United States,US,"Fastly, Inc.","Fastly, Inc","AS54113 Fastly, Inc.",https://www.openstreetmap.org/?mlat=34.0544&mlon=-118.244#map=10/34.0544/-118.244,kill-146-75-92-159
2026-07-13T20:07Z,wartime,ip,147.93.191.75,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,41.0446,-73.9592,Orangeburg,New York,United States,US,Contabo Inc.,Contabo GmbH,AS40021 Contabo Inc.,https://www.openstreetmap.org/?mlat=41.0446&mlon=-73.9592#map=10/41.0446/-73.9592,kill-147-93-191-75
2026-07-13T20:07Z,wartime,ip,162.159.140.229,DEAD,medium,BEACON_PATTERN,wartime_rekill,63,43.6532,-79.3832,Toronto,Ontario,Canada,CA,"Cloudflare, Inc.","Cloudflare, Inc.","AS13335 Cloudflare, Inc.",https://www.openstreetmap.org/?mlat=43.6532&mlon=-79.3832#map=10/43.6532/-79.3832,kill-162-159-140-229
2026-07-13T20:07Z,wartime,ip,167.71.233.187,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,12.9753,77.591,Bengaluru,Karnataka,India,IN,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",https://www.openstreetmap.org/?mlat=12.9753&mlon=77.591#map=10/12.9753/77.591,kill-167-71-233-187
2026-07-13T20:07Z,wartime,ip,188.40.99.226,DEAD,critical,WIFI_THREAT,wartime_rekill,63,50.4777,12.3649,Falkenstein,Saxony,Germany,DE,Hetzner Online GmbH,Hetzner,AS24940 Hetzner Online GmbH,https://www.openstreetmap.org/?mlat=50.4777&mlon=12.3649#map=10/50.4777/12.3649,kill-188-40-99-226
2026-07-13T20:07Z,wartime,ip,192.168.47.1,DEAD,critical,HOSTILE,wartime_rekill,0,,,,,,,,,,,kill-192-168-47-1
2026-07-13T20:07Z,wartime,ip,194.233.73.173,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,1.35208,103.82,Singapore,North West,Singapore,SG,Contabo Asia Private Limited,Contabo Asia Private Limited,AS141995 Contabo Asia Private Limited,https://www.openstreetmap.org/?mlat=1.35208&mlon=103.82#map=10/1.35208/103.82,kill-194-233-73-173
2026-07-13T20:07Z,wartime,ip,196.251.107.104,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,50.1109,8.68213,Frankfurt am Main,Hesse,Germany,DE,Femo IT Solutions Limited,,AS214351 FEMO IT SOLUTIONS LIMITED,https://www.openstreetmap.org/?mlat=50.1109&mlon=8.68213#map=10/50.1109/8.68213,kill-196-251-107-104
2026-07-13T20:07Z,wartime,ip,198.23.185.136,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,40.5247,-111.8638,Draper,Utah,United States,US,Nohavps LLC,Nohavps LLC,AS63025 NOHAVPS LLC,https://www.openstreetmap.org/?mlat=40.5247&mlon=-111.8638#map=10/40.5247/-111.8638,kill-198-23-185-136
2026-07-13T20:07Z,wartime,ip,209.18.47.61,DEAD,critical,HOSTILE,wartime_rekill,0,39.6029,-104.889,Greenwood Village,Colorado,United States,US,Charter Communications Inc,Spectrum,AS7843 Charter Communications Inc,https://www.openstreetmap.org/?mlat=39.6029&mlon=-104.889#map=10/39.6029/-104.889,kill-209-18-47-61
2026-07-13T20:07Z,wartime,ip,209.18.47.62,DEAD,critical,HOSTILE,wartime_rekill,0,39.6029,-104.889,Greenwood Village,Colorado,United States,US,Charter Communications Inc,Spectrum,AS7843 Charter Communications Inc,https://www.openstreetmap.org/?mlat=39.6029&mlon=-104.889#map=10/39.6029/-104.889,kill-209-18-47-62
2026-07-13T20:07Z,wartime,ip,209.18.47.63,DEAD,critical,HOSTILE,wartime_rekill,0,39.6029,-104.889,Greenwood Village,Colorado,United States,US,Charter Communications Inc,Spectrum,AS7843 Charter Communications Inc,https://www.openstreetmap.org/?mlat=39.6029&mlon=-104.889#map=10/39.6029/-104.889,kill-209-18-47-63
2026-07-13T20:07Z,wartime,ip,221.132.29.137,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,21.0278,105.834,Hanoi,Hanoi,Vietnam,VN,VNPT,Vietnam Posts and Telecommunications Group,AS45899 VNPT Corp,https://www.openstreetmap.org/?mlat=21.0278&mlon=105.834#map=10/21.0278/105.834,kill-221-132-29-137
2026-07-13T20:07Z,wartime,ip,35.186.241.51,DEAD,critical,WIFI_THREAT,wartime_rekill,63,39.0997,-94.5785,Kansas City,Missouri,United States,US,Google LLC,Google Cloud,AS396982 Google LLC,https://www.openstreetmap.org/?mlat=39.0997&mlon=-94.5785#map=10/39.0997/-94.5785,kill-35-186-241-51
2026-07-13T20:07Z,wartime,ip,35.190.25.25,DEAD,critical,WIFI_THREAT,wartime_rekill,63,39.0997,-94.5785,Kansas City,Missouri,United States,US,Google LLC,Google Cloud,AS396982 Google LLC,https://www.openstreetmap.org/?mlat=39.0997&mlon=-94.5785#map=10/39.0997/-94.5785,kill-35-190-25-25
2026-07-13T20:07Z,wartime,ip,43.138.165.203,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,23.1181,113.2539,Guangzhou,Guangdong,China,CN,Shenzhen Tencent Computer Systems Company Limited,"Tencent Cloud Computing (Beijing) Co., Ltd",AS45090 Shenzhen Tencent Computer Systems Company Limited,https://www.openstreetmap.org/?mlat=23.1181&mlon=113.2539#map=10/23.1181/113.2539,kill-43-138-165-203
2026-07-13T20:07Z,wartime,ip,43.156.63.124,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,1.35208,103.82,Singapore,North West,Singapore,SG,Shenzhen Tencent Computer Systems Company Limited,Tencent Cloud Computing,"AS132203 Tencent Building, Kejizhongyi Avenue",https://www.openstreetmap.org/?mlat=1.35208&mlon=103.82#map=10/1.35208/103.82,kill-43-156-63-124
2026-07-13T20:07Z,wartime,ip,47.101.51.235,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,31.2222,121.4581,Shanghai,Shanghai,China,CN,Addresses CNNIC,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",https://www.openstreetmap.org/?mlat=31.2222&mlon=121.4581#map=10/31.2222/121.4581,kill-47-101-51-235
2026-07-13T20:07Z,wartime,ip,47.103.95.85,DEAD,critical,WIFI_THREAT,rf_unhealthy_forever,110,31.2222,121.4581,Shanghai,Shanghai,China,CN,Addresses CNNIC,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",https://www.openstreetmap.org/?mlat=31.2222&mlon=121.4581#map=10/31.2222/121.4581,kill-47-103-95-85
2026-07-13T20:07Z,wartime,ip,47.116.211.215,DEAD,critical,HUMAN_THREAT,rekill_all_registered:Active,110,31.2222,121.4581,Shanghai,Shanghai,China,CN,"Hangzhou Alibaba Advertising Co., Ltd.",Alibaba.com LLC,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",https://www.openstreetmap.org/?mlat=31.2222&mlon=121.4581#map=10/31.2222/121.4581,kill-47-116-211-215
2026-07-13T20:07Z,wartime,ip,47.236.149.142,DEAD,critical,HUMAN_THREAT,rekill_all_registered:High,110,1.35208,103.82,Singapore,North West,Singapore,SG,"Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,"AS45102 Alibaba (US) Technology Co., Ltd.",https://www.openstreetmap.org/?mlat=1.35208&mlon=103.82#map=10/1.35208/103.82,kill-47-236-149-142
2026-07-13T20:07Z,wartime,ip,47.238.154.144,DEAD,critical,HUMAN_THREAT,rekill_all_registered:Fresh,110,22.3193,114.169,Hong Kong,Kowloon,Hong Kong,HK,Alibaba Cloud LLC,Alibaba Cloud - HK,"AS45102 Alibaba (US) Technology Co., Ltd.",https://www.openstreetmap.org/?mlat=22.3193&mlon=114.169#map=10/22.3193/114.169,kill-47-238-154-144
2026-07-13T20:07Z,wartime,ip,47.82.234.12,DEAD,critical,HUMAN_THREAT,rekill_all_registered:Fresh,110,1.35208,103.82,Singapore,North West,Singapore,SG,"Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,"AS45102 Alibaba (US) Technology Co., Ltd.",https://www.openstreetmap.org/?mlat=1.35208&mlon=103.82#map=10/1.35208/103.82,kill-47-82-234-12
2026-07-13T20:07Z,wartime,ip,49.233.215.164,DEAD,critical,HUMAN_THREAT,rekill_all_registered:Fresh,110,39.911,116.395,Beijing,Beijing,China,CN,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited,https://www.openstreetmap.org/?mlat=39.911&mlon=116.395#map=10/39.911/116.395,kill-49-233-215-164
2026-07-13T20:07Z,wartime,ip,5.101.86.44,DEAD,critical,HUMAN_THREAT,rekill_all_registered:Censys,110,45.5041,-73.5522,Montreal,Quebec,Canada,CA,GLOBALTELEHOST Corp.,Cust88530 Network,AS62563 GLOBALTELEHOST Corp.,https://www.openstreetmap.org/?mlat=45.5041&mlon=-73.5522#map=10/45.5041/-73.5522,kill-5-101-86-44
2026-07-13T20:07Z,wartime,ip,68.118.158.1,DEAD,high,BANDWIDTH_ABUSE,rekill_same_host_validated,110,45.7452,-87.0646,Escanaba,Michigan,United States,US,Charter Communications,Spectrum,AS20115 Charter Communications LLC,https://www.openstreetmap.org/?mlat=45.7452&mlon=-87.0646#map=10/45.7452/-87.0646,kill-68-118-158-1
2026-07-13T20:07Z,wartime,ip,71.10.216.1,DEAD,critical,WIFI_THREAT,wartime_rekill,63,39.6004,-104.891,Greenwood Village,Colorado,United States,US,Spectrum,Charter Communications,,https://www.openstreetmap.org/?mlat=39.6004&mlon=-104.891#map=10/39.6004/-104.891,kill-71-10-216-1
2026-07-13T20:07Z,wartime,ip,82.157.52.180,DEAD,critical,HUMAN_THREAT,rekill_all_registered:Active,110,39.911,116.395,Beijing,Beijing,China,CN,Shenzhen Tencent Computer Systems Company Limited,"Tencent Cloud Computing (Beijing) Co., Ltd",AS45090 Shenzhen Tencent Computer Systems Company Limited,https://www.openstreetmap.org/?mlat=39.911&mlon=116.395#map=10/39.911/116.395,kill-82-157-52-180
2026-07-13T20:07Z,wartime,ip,87.199.196.12,DEAD,critical,HUMAN_THREAT,rekill_all_registered:Fresh,110,52.3716,4.8883,Amsterdam,North Holland,The Netherlands,NL,Servers Tech Fzco,Servers Tech Fzco,AS216071 SERVERS TECH FZCO,https://www.openstreetmap.org/?mlat=52.3716&mlon=4.8883#map=10/52.3716/4.8883,kill-87-199-196-12
